team_id,team_name,state,year,num_subscriptions,price_per_subscription,cost_per_subscription,gross_sales,total_cost,profit,profit_margin,team_description,customer_comment
1,Team_1,OH,2023,501,16.02,4.96,8026.0199999999995,2484.96,5541.0599999999995,0.6903870162297129,High-variance strategy with special bonuses.,"Loved the stats, very helpful!"
2,Team_2,FL,2023,532,19.17,2.57,10198.44,1367.24,8831.2,0.8659363588941054,Aggressive lineup with weekly analysis and premium picks.,Not enough detailed analysis.
3,Team_3,GA,2024,501,7.29,9.15,3652.29,4584.150000000001,-931.8600000000006,-0.25514403292181087,"Expert tips, deep stats, and community chat included.",Too expensive for casual use.
4,Team_4,IL,2023,501,11.11,9.11,5566.11,4564.11,1002.0,0.18001800180018002,High-variance strategy with special bonuses.,Too expensive for casual use.
5,Team_5,OH,2023,494,20.63,8.84,10191.22,4366.96,5824.259999999999,0.5714978187106156,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
6,Team_6,MI,2024,542,12.32,8.76,6677.4400000000005,4747.92,1929.5200000000004,0.28896103896103903,"Value-focused picks, aimed at casual players.",Not enough detailed analysis.
7,Team_7,NY,2024,485,9.83,5.84,4767.55,2832.4,1935.15,0.4059003051881994,Aggressive lineup with weekly analysis and premium picks.,"Loved the stats, very helpful!"
8,Team_8,OH,2023,527,18.44,3.42,9717.880000000001,1802.34,7915.540000000001,0.8145336225596529,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
9,Team_9,GA,2024,527,8.94,5.82,4711.38,3067.1400000000003,1644.2399999999998,0.34899328859060397,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
10,Team_10,IL,2024,494,22.91,5.96,11317.54,2944.24,8373.300000000001,0.7398515931907464,Aggressive lineup with weekly analysis and premium picks.,Too expensive for casual use.
11,Team_11,FL,2023,507,7.11,5.92,3604.77,3001.44,603.3299999999999,0.16736990154711673,High-variance strategy with special bonuses.,Community is fun but needs more tips.
12,Team_12,GA,2024,504,19.13,6.31,9641.519999999999,3180.24,6461.279999999999,0.6701515943544171,"Expert tips, deep stats, and community chat included.","Loved the stats, very helpful!"
13,Team_13,GA,2023,520,14.99,4.06,7794.8,2111.2,5683.6,0.7291527685123416,Aggressive lineup with weekly analysis and premium picks.,Not enough detailed analysis.
14,Team_14,NY,2023,489,22.4,4.93,10953.599999999999,2410.77,8542.829999999998,0.7799107142857142,Newcomer friendly; easy setup and low cost.,"Great value, multiple wins!"
15,Team_15,PA,2023,505,7.52,5.47,3797.6,2762.35,1035.25,0.2726063829787234,"Value-focused picks, aimed at casual players.","Loved the stats, very helpful!"
